Avg Child Number;Avg Energy;Evg Life length;Number of animals;Number of free places;Number of grass;Popular genotype
0.0;19.0;0.0;10;111;30;"[[3, 3, 2, 5, 1, 1, 3, 0, 5, 5, 7, 7, 4, 2, 6, 1, 2, 4, 2, 7, 3, 6, 1, 0, 5, 2, 0, 1, 2, 2, 5, 1, 1, 5, 5, 1, 1, 3, 2, 2, 4, 2, 4, 6, 1, 0, 6, 3, 6, 7]=1, [3, 6, 0, 6, 4, 4, 3, 6, 2, 7, 7, 5, 7, 1, 7, 5, 1, 1, 1, 3, 0, 1, 5, 5, 3, 4, 7, 4, 4, 4, 0, 3, 1, 0, 6, 5, 4, 6, 2, 7, 2, 6, 5, 0, 2, 1, 3, 7, 6, 4]=1, [2, 6, 0, 3, 5, 4, 6, 2, 2, 3, 2, 3, 1, 2, 0, 3, 3, 6, 0, 0, 3, 5, 0, 0, 0, 6, 5, 1, 1, 0, 4, 4, 5, 6, 5, 7, 7, 1, 0, 5, 6, 6, 6, 3, 3, 5, 7, 3, 0, 5]=1]"
0.0;18.0;0.0;10;111;50;"[[3, 3, 2, 5, 1, 1, 3, 0, 5, 5, 7, 7, 4, 2, 6, 1, 2, 4, 2, 7, 3, 6, 1, 0, 5, 2, 0, 1, 2, 2, 5, 1, 1, 5, 5, 1, 1, 3, 2, 2, 4, 2, 4, 6, 1, 0, 6, 3, 6, 7]=1, [3, 6, 0, 6, 4, 4, 3, 6, 2, 7, 7, 5, 7, 1, 7, 5, 1, 1, 1, 3, 0, 1, 5, 5, 3, 4, 7, 4, 4, 4, 0, 3, 1, 0, 6, 5, 4, 6, 2, 7, 2, 6, 5, 0, 2, 1, 3, 7, 6, 4]=1, [2, 6, 0, 3, 5, 4, 6, 2, 2, 3, 2, 3, 1, 2, 0, 3, 3, 6, 0, 0, 3, 5, 0, 0, 0, 6, 5, 1, 1, 0, 4, 4, 5, 6, 5, 7, 7, 1, 0, 5, 6, 6, 6, 3, 3, 5, 7, 3, 0, 5]=1]"
0.0;21.0;0.0;10;111;68;"[[3, 3, 2, 5, 1, 1, 3, 0, 5, 5, 7, 7, 4, 2, 6, 1, 2, 4, 2, 7, 3, 6, 1, 0, 5, 2, 0, 1, 2, 2, 5, 1, 1, 5, 5, 1, 1, 3, 2, 2, 4, 2, 4, 6, 1, 0, 6, 3, 6, 7]=1, [3, 6, 0, 6, 4, 4, 3, 6, 2, 7, 7, 5, 7, 1, 7, 5, 1, 1, 1, 3, 0, 1, 5, 5, 3, 4, 7, 4, 4, 4, 0, 3, 1, 0, 6, 5, 4, 6, 2, 7, 2, 6, 5, 0, 2, 1, 3, 7, 6, 4]=1, [2, 6, 0, 3, 5, 4, 6, 2, 2, 3, 2, 3, 1, 2, 0, 3, 3, 6, 0, 0, 3, 5, 0, 0, 0, 6, 5, 1, 1, 0, 4, 4, 5, 6, 5, 7, 7, 1, 0, 5, 6, 6, 6, 3, 3, 5, 7, 3, 0, 5]=1]"
0.0;32.0;0.0;10;111;82;"[[3, 3, 2, 5, 1, 1, 3, 0, 5, 5, 7, 7, 4, 2, 6, 1, 2, 4, 2, 7, 3, 6, 1, 0, 5, 2, 0, 1, 2, 2, 5, 1, 1, 5, 5, 1, 1, 3, 2, 2, 4, 2, 4, 6, 1, 0, 6, 3, 6, 7]=1, [3, 6, 0, 6, 4, 4, 3, 6, 2, 7, 7, 5, 7, 1, 7, 5, 1, 1, 1, 3, 0, 1, 5, 5, 3, 4, 7, 4, 4, 4, 0, 3, 1, 0, 6, 5, 4, 6, 2, 7, 2, 6, 5, 0, 2, 1, 3, 7, 6, 4]=1, [2, 6, 0, 3, 5, 4, 6, 2, 2, 3, 2, 3, 1, 2, 0, 3, 3, 6, 0, 0, 3, 5, 0, 0, 0, 6, 5, 1, 1, 0, 4, 4, 5, 6, 5, 7, 7, 1, 0, 5, 6, 6, 6, 3, 3, 5, 7, 3, 0, 5]=1]"
0.0;45.0;0.0;10;111;95;"[[3, 3, 2, 5, 1, 1, 3, 0, 5, 5, 7, 7, 4, 2, 6, 1, 2, 4, 2, 7, 3, 6, 1, 0, 5, 2, 0, 1, 2, 2, 5, 1, 1, 5, 5, 1, 1, 3, 2, 2, 4, 2, 4, 6, 1, 0, 6, 3, 6, 7]=1, [3, 6, 0, 6, 4, 4, 3, 6, 2, 7, 7, 5, 7, 1, 7, 5, 1, 1, 1, 3, 0, 1, 5, 5, 3, 4, 7, 4, 4, 4, 0, 3, 1, 0, 6, 5, 4, 6, 2, 7, 2, 6, 5, 0, 2, 1, 3, 7, 6, 4]=1, [2, 6, 0, 3, 5, 4, 6, 2, 2, 3, 2, 3, 1, 2, 0, 3, 3, 6, 0, 0, 3, 5, 0, 0, 0, 6, 5, 1, 1, 0, 4, 4, 5, 6, 5, 7, 7, 1, 0, 5, 6, 6, 6, 3, 3, 5, 7, 3, 0, 5]=1]"
0.0;58.0;0.0;10;111;108;"[[3, 3, 2, 5, 1, 1, 3, 0, 5, 5, 7, 7, 4, 2, 6, 1, 2, 4, 2, 7, 3, 6, 1, 0, 5, 2, 0, 1, 2, 2, 5, 1, 1, 5, 5, 1, 1, 3, 2, 2, 4, 2, 4, 6, 1, 0, 6, 3, 6, 7]=1, [3, 6, 0, 6, 4, 4, 3, 6, 2, 7, 7, 5, 7, 1, 7, 5, 1, 1, 1, 3, 0, 1, 5, 5, 3, 4, 7, 4, 4, 4, 0, 3, 1, 0, 6, 5, 4, 6, 2, 7, 2, 6, 5, 0, 2, 1, 3, 7, 6, 4]=1, [2, 6, 0, 3, 5, 4, 6, 2, 2, 3, 2, 3, 1, 2, 0, 3, 3, 6, 0, 0, 3, 5, 0, 0, 0, 6, 5, 1, 1, 0, 4, 4, 5, 6, 5, 7, 7, 1, 0, 5, 6, 6, 6, 3, 3, 5, 7, 3, 0, 5]=1]"
0.18181819;68.181816;0.0;11;112;119;"[[3, 3, 2, 5, 1, 1, 3, 0, 5, 5, 7, 7, 4, 2, 6, 1, 2, 4, 2, 7, 3, 6, 1, 0, 5, 2, 0, 1, 2, 2, 5, 1, 1, 5, 5, 1, 1, 3, 2, 2, 4, 2, 4, 6, 1, 0, 6, 3, 6, 7]=1, [3, 6, 0, 6, 4, 4, 3, 6, 2, 7, 7, 5, 7, 1, 7, 5, 1, 1, 1, 3, 0, 1, 5, 5, 3, 4, 7, 4, 4, 4, 0, 3, 1, 0, 6, 5, 4, 6, 2, 7, 2, 6, 5, 0, 2, 1, 3, 7, 6, 4]=1, [2, 6, 0, 3, 5, 4, 6, 2, 2, 3, 2, 3, 1, 2, 0, 3, 3, 6, 0, 0, 3, 5, 0, 0, 0, 6, 5, 1, 1, 0, 4, 4, 5, 6, 5, 7, 7, 1, 0, 5, 6, 6, 6, 3, 3, 5, 7, 3, 0, 5]=1]"
0.18181819;87.181816;0.0;11;110;121;"[[3, 3, 2, 5, 1, 1, 3, 0, 5, 5, 7, 7, 4, 2, 6, 1, 2, 4, 2, 7, 3, 6, 1, 0, 5, 2, 0, 1, 2, 2, 5, 1, 1, 5, 5, 1, 1, 3, 2, 2, 4, 2, 4, 6, 1, 0, 6, 3, 6, 7]=1, [3, 6, 0, 6, 4, 4, 3, 6, 2, 7, 7, 5, 7, 1, 7, 5, 1, 1, 1, 3, 0, 1, 5, 5, 3, 4, 7, 4, 4, 4, 0, 3, 1, 0, 6, 5, 4, 6, 2, 7, 2, 6, 5, 0, 2, 1, 3, 7, 6, 4]=1, [2, 6, 0, 3, 5, 4, 6, 2, 2, 3, 2, 3, 1, 2, 0, 3, 3, 6, 0, 0, 3, 5, 0, 0, 0, 6, 5, 1, 1, 0, 4, 4, 5, 6, 5, 7, 7, 1, 0, 5, 6, 6, 6, 3, 3, 5, 7, 3, 0, 5]=1]"
0.18181819;106.181816;0.0;11;110;121;"[[3, 3, 2, 5, 1, 1, 3, 0, 5, 5, 7, 7, 4, 2, 6, 1, 2, 4, 2, 7, 3, 6, 1, 0, 5, 2, 0, 1, 2, 2, 5, 1, 1, 5, 5, 1, 1, 3, 2, 2, 4, 2, 4, 6, 1, 0, 6, 3, 6, 7]=1, [3, 6, 0, 6, 4, 4, 3, 6, 2, 7, 7, 5, 7, 1, 7, 5, 1, 1, 1, 3, 0, 1, 5, 5, 3, 4, 7, 4, 4, 4, 0, 3, 1, 0, 6, 5, 4, 6, 2, 7, 2, 6, 5, 0, 2, 1, 3, 7, 6, 4]=1, [2, 6, 0, 3, 5, 4, 6, 2, 2, 3, 2, 3, 1, 2, 0, 3, 3, 6, 0, 0, 3, 5, 0, 0, 0, 6, 5, 1, 1, 0, 4, 4, 5, 6, 5, 7, 7, 1, 0, 5, 6, 6, 6, 3, 3, 5, 7, 3, 0, 5]=1]"
0.0;19.404041;0.0;99;48;8;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
